App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
App 15,PERSONALIZATION,1.2,128277,74M,"1,000,000+",Paid,0,Everyone 10+,Education,27-Jun-18,Varies with device,4.1 and up
App 16,ENTERTAINMENT,1.3,620165,74M,"10,000,000+",Paid,27.01,Mature 17+,Entertainment,13-Apr-17,1.1,Varies with device
App 17,EDUCATION,2.9,122591,Varies with device,"1,000+",Free,0,Everyone,Education,24-Mar-17,Varies with device,4.1 and up
App 18,PERSONALIZATION,,588820,74M,"1,000+",Paid,0,Everyone 10+,Entertainment,06-Jul-16,Varies with device,4.2 and up
App 19,FAMILY,4.3,983660,Varies with device,"10,000,000+",Free,0,Everyone,Action,24-Dec-17,Varies with device,4.1 and up
App 20,PERSONALIZATION,,61918,Varies with device,"10,000,000+",Free,16.39,Mature 17+,Simulation,16-Aug-17,1.0,Varies with device
App 21,TOOLS,4.7,861335,74M,"1,000+",Free,49.06,Everyone,Education,08-Feb-17,Varies with device,4.0 and up
App 22,PERSONALIZATION,3.2,837723,Varies with device,"1,000,000+",Free,0,Teen,Action,01-Sep-16,1.5,5.0 and up
App 23,BUSINESS,4.1,78987,74M,"10,000,000+",Paid,0,Everyone,Simulation,06-Jan-18,1.0,4.1 and up
App 24,BUSINESS,3.8,590561,Varies with device,"100,000+",Paid,0,Mature 17+,Tools,22-Jan-17,2.0,Varies with device
App 25,BUSINESS,4.4,355919,74M,"10,000+",Paid,0,Mature 17+,Tools,12-Nov-17,2.0,4.0 and up
App 26,EDUCATION,,499919,Varies with device,"1,000+",Free,0,Everyone,Entertainment,09-Sep-18,2.0,4.1 and up
App 27,BUSINESS,4.6,979222,Varies with device,"10,000,000+",Free,34.52,Mature 17+,Education,19-Nov-18,2.0,4.1 and up
App 28,TOOLS,2.9,326485,74M,"1,000+",Paid,0,Everyone 10+,Entertainment,07-Feb-16,Varies with device,Varies with device
App 29,FAMILY,4.4,749127,Varies with device,"100,000+",Free,0.33,Everyone,Education,10-Jul-17,1.1,Varies with device
App 30,FAMILY,2.8,110719,Varies with device,"10,000+",Free,0,Mature 17+,Simulation,14-Jun-18,2.0,Varies with device
App 31,EDUCATION,3.8,539263,Varies with device,"1,000+",Free,0,Everyone,Education,01-Oct-16,1.1,Varies with device
App 32,BUSINESS,4.9,387701,74M,"10,000,000+",Paid,0,Teen,Entertainment,15-Jul-18,1.1,4.2 and up
App 33,GAME,4.7,847932,Varies with device,"1,000,000+",Free,16.49,Mature 17+,Entertainment,01-Nov-16,1.0,4.0 and up
App 34,EDUCATION,3.4,689590,74M,"100,000+",Paid,0,Everyone,Simulation,08-Sep-17,1.5,5.0 and up
App 35,TOOLS,3.2,597980,Varies with device,"10,000+",Paid,48.49,Everyone 10+,Education,25-Jul-16,2.0,4.0 and up
App 36,PERSONALIZATION,4.8,595633,Varies with device,"1,000+",Paid,0,Everyone,Simulation,21-Apr-17,2.0,4.2 and up
App 37,GAME,2.6,244615,Varies with device,"1,000+",Paid,0,Everyone 10+,Action,26-May-17,Varies with device,4.1 and up
App 38,GAME,1.9,264722,Varies with device,"100,000+",Free,0,Teen,Tools,16-Oct-16,2.0,4.1 and up
App 39,GAME,1.5,692783,Varies with device,"10,000+",Paid,0,Mature 17+,Simulation,15-Jan-16,1.1,4.2 and up
App 40,FAMILY,1.3,926383,74M,"1,000,000+",Free,48.93,Mature 17+,Action,23-Mar-17,1.1,4.1 and up
App 41,PERSONALIZATION,2.4,897876,Varies with device,"10,000+",Paid,28.48,Everyone 10+,Tools,21-Jun-16,1.5,5.0 and up
App 42,TOOLS,1.5,879154,Varies with device,"10,000,000+",Paid,0,Everyone 10+,Simulation,28-Jan-16,1.0,4.0 and up
App 43,GAME,4.9,446048,74M,"100,000+",Free,11.52,Everyone 10+,Tools,03-Dec-17,1.1,4.0 and up
App 44,TOOLS,4.4,999279,74M,"1,000,000+",Paid,0,Mature 17+,Simulation,10-Nov-17,1.5,4.1 and up
App 45,FAMILY,4.5,926683,Varies with device,"100,000+",Free,7.6,Teen,Puzzle,26-Apr-17,1.1,4.0 and up
App 46,FAMILY,4.5,650777,74M,"10,000,000+",Free,0,Everyone 10+,Puzzle,10-Jun-17,2.0,5.0 and up
App 47,EDUCATION,3.1,672864,74M,"10,000+",Free,0,Everyone,Puzzle,20-Nov-18,1.0,4.0 and up
App 48,PERSONALIZATION,1.8,142665,Varies with device,"100,000+",Paid,38.37,Everyone,Education,03-Feb-16,Varies with device,4.0 and up
App 49,EDUCATION,3.4,872201,74M,"100,000+",Free,0,Mature 17+,Tools,22-Sep-18,1.5,5.0 and up
App 50,FAMILY,3.3,585526,Varies with device,"10,000+",Paid,0,Teen,Action,17-Jun-18,1.5,4.2 and up
App 51,BUSINESS,1.0,403211,Varies with device,"1,000,000+",Free,0,Teen,Entertainment,07-Dec-17,1.1,4.2 and up
App 52,GAME,1.2,934078,Varies with device,"10,000,000+",Paid,9.98,Everyone,Simulation,13-Sep-17,1.1,4.1 and up
App 53,TOOLS,4.2,165586,Varies with device,"10,000,000+",Paid,0,Everyone,Simulation,05-Mar-17,1.1,Varies with device
App 54,TOOLS,2.6,810630,Varies with device,"1,000+",Free,0,Everyone 10+,Simulation,06-Feb-17,2.0,4.2 and up
App 55,GAME,2.1,848230,Varies with device,"10,000,000+",Free,0,Everyone 10+,Tools,13-Jul-18,2.0,5.0 and up
App 56,GAME,3.9,997257,Varies with device,"1,000+",Paid,0,Mature 17+,Education,27-Sep-17,1.5,Varies with device
App 57,EDUCATION,2.9,738690,74M,"1,000+",Free,0,Teen,Education,06-Apr-17,Varies with device,4.0 and up
App 58,BUSINESS,4.0,530870,74M,"10,000,000+",Free,0,Everyone 10+,Tools,01-Apr-16,1.1,4.0 and up
App 59,ENTERTAINMENT,4.5,998429,74M,"10,000,000+",Paid,39.07,Teen,Puzzle,25-Oct-17,2.0,5.0 and up
App 60,TOOLS,1.5,119934,74M,"1,000,000+",Free,8.03,Teen,Action,20-May-17,Varies with device,5.0 and up
App 61,GAME,4.8,577467,Varies with device,"100,000+",Paid,0,Everyone 10+,Tools,09-Feb-16,2.0,4.0 and up
App 62,EDUCATION,3.9,425352,Varies with device,"10,000+",Free,0,Teen,Puzzle,05-Jul-16,Varies with device,4.2 and up
App 63,ENTERTAINMENT,4.5,496761,74M,"10,000,000+",Free,11.51,Teen,Simulation,13-Mar-16,1.5,Varies with device
App 64,PERSONALIZATION,3.0,726367,Varies with device,"100,000+",Free,0,Everyone 10+,Tools,06-Mar-17,1.0,4.1 and up
App 65,EDUCATION,,43583,74M,"10,000,000+",Paid,28.51,Mature 17+,Simulation,07-Jun-17,Varies with device,4.2 and up
App 66,BUSINESS,1.8,276689,Varies with device,"10,000,000+",Paid,0,Mature 17+,Puzzle,06-Jul-17,2.0,Varies with device
App 67,PERSONALIZATION,1.9,204553,74M,"100,000+",Paid,38.28,Everyone 10+,Action,25-Jan-18,1.0,4.1 and up
App 68,GAME,2.8,969627,Varies with device,"10,000,000+",Free,25.68,Teen,Simulation,17-Sep-18,2.0,4.0 and up
App 69,BUSINESS,2.2,104673,Varies with device,"10,000+",Paid,40.92,Teen,Entertainment,09-Jun-18,1.0,Varies with device
App 70,ENTERTAINMENT,2.3,351294,74M,"100,000+",Paid,0,Mature 17+,Education,21-Jul-18,1.1,Varies with device
App 71,EDUCATION,,478715,74M,"100,000+",Paid,0,Mature 17+,Simulation,21-Jun-18,1.5,4.0 and up
App 72,TOOLS,2.3,871637,Varies with device,"1,000+",Free,32.92,Everyone 10+,Tools,15-Dec-18,1.5,4.1 and up
App 73,EDUCATION,2.5,190468,74M,"1,000+",Paid,3.8,Mature 17+,Simulation,08-Oct-17,2.0,Varies with device
App 74,BUSINESS,2.7,707573,Varies with device,"1,000+",Free,0,Everyone,Tools,25-May-16,1.0,5.0 and up
App 75,FAMILY,2.6,593915,74M,"10,000,000+",Free,48.41,Mature 17+,Tools,28-May-18,1.5,5.0 and up
App 76,ENTERTAINMENT,4.0,398225,Varies with device,"1,000,000+",Paid,23.42,Everyone,Entertainment,25-May-16,1.5,4.2 and up
App 77,ENTERTAINMENT,1.2,495378,Varies with device,"1,000,000+",Paid,19.48,Everyone,Action,23-Dec-17,Varies with device,4.0 and up
App 78,PERSONALIZATION,4.2,29749,74M,"10,000,000+",Free,18.63,Everyone 10+,Action,21-Jan-17,1.5,4.1 and up
App 79,GAME,1.5,627045,Varies with device,"10,000+",Free,0,Mature 17+,Tools,27-May-17,1.5,4.1 and up
App 80,BUSINESS,1.9,443179,74M,"1,000,000+",Free,9.74,Mature 17+,Puzzle,15-Aug-17,Varies with device,4.1 and up
App 81,TOOLS,4.6,748066,Varies with device,"1,000,000+",Paid,22.36,Mature 17+,Simulation,25-Aug-16,1.0,4.2 and up
App 82,TOOLS,4.5,36893,Varies with device,"10,000+",Paid,0,Everyone,Simulation,27-Apr-18,1.1,Varies with device
App 83,PERSONALIZATION,4.5,457726,74M,"1,000,000+",Paid,0.75,Teen,Tools,07-Jun-17,1.1,4.1 and up
App 84,FAMILY,1.9,660466,Varies with device,"100,000+",Free,38.73,Everyone 10+,Entertainment,03-Aug-17,1.0,Varies with device
App 85,FAMILY,1.6,351166,Varies with device,"1,000,000+",Free,0,Mature 17+,Puzzle,11-Feb-16,2.0,5.0 and up
App 86,FAMILY,,969435,74M,"1,000,000+",Free,0,Everyone,Entertainment,16-Jul-18,Varies with device,5.0 and up
App 87,TOOLS,2.3,838418,74M,"1,000,000+",Free,45.8,Everyone 10+,Simulation,26-Nov-17,1.0,Varies with device
App 88,GAME,8.0,541824,Varies with device,"10,000+",Free,18.58,Everyone 10+,Puzzle,23-May-18,Varies with device,4.1 and up
App 89,BUSINESS,,36974,74M,"1,000,000+",Paid,37.48,Everyone 10+,Action,27-Jan-17,1.0,Varies with device
App 90,EDUCATION,1.9,806512,74M,"1,000,000+",Free,10.12,Everyone,Education,06-Jul-17,1.0,5.0 and up
App 91,FAMILY,1.8,206786,74M,"10,000+",Paid,0,Mature 17+,Puzzle,27-Dec-16,2.0,4.2 and up
App 92,FAMILY,4.0,578399,Varies with device,"1,000+",Free,0,Everyone 10+,Education,19-Jul-16,1.5,5.0 and up
App 93,PERSONALIZATION,2.9,235929,Varies with device,"1,000+",Free,0,Everyone,Entertainment,11-Jul-17,1.1,4.1 and up
App 94,ENTERTAINMENT,1.7,455369,Varies with device,"10,000,000+",Paid,0,Teen,Action,22-Nov-17,1.0,4.0 and up
App 95,ENTERTAINMENT,1.1,353183,74M,"100,000+",Paid,0,Teen,Tools,21-Mar-17,1.0,4.0 and up
App 96,TOOLS,4.5,151521,74M,"100,000+",Paid,0,Teen,Education,19-Feb-17,1.0,4.2 and up
App 97,EDUCATION,4.7,436594,74M,"100,000+",Free,0,Mature 17+,Tools,09-Feb-16,1.5,Varies with device
App 98,GAME,3.4,255917,74M,"10,000+",Paid,16.15,Everyone 10+,Entertainment,04-Jan-18,2.0,5.0 and up
App 99,PERSONALIZATION,1.3,735690,74M,"10,000+",Free,0,Everyone 10+,Tools,18-Jan-17,1.5,Varies with device
App 100,TOOLS,4.6,1984,74M,"10,000+",Paid,0,Everyone 10+,Education,13-Sep-16,1.5,4.1 and up
App 101,ENTERTAINMENT,,913667,Varies with device,"1,000+",Paid,49.81,Everyone 10+,Simulation,10-Jan-17,1.1,4.2 and up
App 102,FAMILY,2.8,204286,74M,"100,000+",Free,0,Everyone,Puzzle,21-Oct-18,1.5,4.2 and up
App 103,PERSONALIZATION,2.2,544497,74M,"1,000,000+",Free,6.75,Everyone 10+,Education,04-Mar-18,1.1,4.1 and up
App 104,PERSONALIZATION,4.2,544252,Varies with device,"100,000+",Free,21.33,Teen,Education,08-Jul-17,1.0,4.2 and up
App 105,FAMILY,3.4,884326,74M,"10,000+",Free,13.32,Everyone 10+,Tools,18-Mar-18,1.5,4.1 and up
App 106,GAME,1.9,423497,Varies with device,"100,000+",Paid,0,Teen,Puzzle,01-Jul-18,2.0,4.0 and up
App 107,PERSONALIZATION,3.6,882769,Varies with device,"10,000,000+",Paid,14.12,Mature 17+,Entertainment,14-Dec-17,Varies with device,Varies with device
App 108,PERSONALIZATION,2.2,996056,Varies with device,"10,000,000+",Free,8.47,Everyone 10+,Entertainment,01-Aug-16,1.5,4.1 and up
App 109,BUSINESS,1.6,981088,Varies with device,"1,000+",Free,0,Teen,Tools,20-Aug-18,1.0,4.0 and up
App 110,EDUCATION,,776124,74M,"10,000+",Free,0,Everyone 10+,Simulation,02-Apr-17,1.0,5.0 and up
App 111,TOOLS,1.5,184732,74M,"1,000+",Paid,35.06,Everyone,Entertainment,18-Mar-16,Varies with device,4.0 and up
App 112,BUSINESS,2.3,379206,74M,"1,000+",Paid,0,Everyone 10+,Education,18-Feb-17,1.1,4.0 and up
App 113,FAMILY,5.0,153149,74M,"10,000+",Paid,0,Everyone 10+,Puzzle,10-Jul-16,2.0,4.1 and up
App 114,BUSINESS,1.4,173482,74M,"1,000,000+",Free,0,Everyone 10+,Action,06-May-17,1.0,4.2 and up
App 115,ENTERTAINMENT,2.8,541349,Varies with device,"10,000+",Paid,0,Mature 17+,Entertainment,04-May-16,1.0,Varies with device
App 116,TOOLS,1.4,910510,74M,"10,000+",Paid,39.78,Teen,Action,27-Nov-17,2.0,4.1 and up
App 117,ENTERTAINMENT,3.1,135782,74M,"100,000+",Free,0,Teen,Entertainment,08-Feb-16,2.0,5.0 and up
App 118,GAME,2.9,279152,74M,"10,000+",Free,41.66,Everyone,Education,10-May-18,1.5,4.0 and up
App 119,BUSINESS,4.8,130156,Varies with device,"10,000,000+",Paid,3.48,Everyone,Simulation,20-Nov-17,Varies with device,4.1 and up
App 120,ENTERTAINMENT,2.4,814029,Varies with device,"100,000+",Paid,41.78,Teen,Education,12-Mar-16,1.0,4.2 and up
App 121,PERSONALIZATION,4.5,940083,Varies with device,"1,000,000+",Free,22.76,Everyone 10+,Action,06-Aug-16,2.0,4.0 and up
App 122,BUSINESS,,720650,Varies with device,"100,000+",Paid,9.44,Mature 17+,Entertainment,04-Feb-18,2.0,4.1 and up
App 123,EDUCATION,3.2,112183,Varies with device,"1,000,000+",Paid,45.68,Everyone,Puzzle,23-Feb-16,2.0,Varies with device
App 124,BUSINESS,2.3,54079,Varies with device,"10,000+",Free,0,Everyone,Action,24-Dec-16,2.0,Varies with device
App 125,PERSONALIZATION,2.9,879073,74M,"1,000+",Paid,0,Everyone,Simulation,26-Nov-17,1.1,4.0 and up
App 126,GAME,2.7,699915,Varies with device,"1,000+",Paid,32.67,Teen,Education,08-Jun-16,2.0,4.2 and up
App 127,TOOLS,2.2,728192,Varies with device,"1,000,000+",Free,16.63,Teen,Tools,02-Aug-17,1.1,4.1 and up
App 128,BUSINESS,,504807,Varies with device,"100,000+",Free,0,Everyone,Entertainment,06-Oct-16,1.0,4.2 and up
App 129,PERSONALIZATION,1.1,940226,Varies with device,"1,000,000+",Free,34.93,Everyone,Simulation,01-Sep-16,2.0,4.2 and up
App 130,TOOLS,4.7,995127,Varies with device,"10,000+",Paid,39.88,Everyone 10+,Simulation,27-Dec-18,1.0,4.2 and up
App 131,GAME,2.5,812422,74M,"10,000+",Free,43.46,Everyone 10+,Entertainment,04-Feb-18,Varies with device,5.0 and up
App 132,PERSONALIZATION,1.7,394049,74M,"1,000+",Paid,0,Everyone 10+,Action,01-Dec-16,1.0,Varies with device
App 133,PERSONALIZATION,2.6,644613,74M,"100,000+",Paid,0,Everyone 10+,Puzzle,07-May-17,2.0,4.0 and up
App 134,ENTERTAINMENT,4.1,400803,Varies with device,"10,000,000+",Free,13.17,Mature 17+,Entertainment,14-Jun-18,2.0,4.0 and up
App 135,FAMILY,,613782,74M,"1,000+",Paid,40.87,Everyone,Action,14-Feb-16,1.1,5.0 and up
App 136,ENTERTAINMENT,4.8,301154,Varies with device,"100,000+",Free,0,Teen,Tools,08-Apr-17,Varies with device,Varies with device
App 137,EDUCATION,4.2,508987,74M,"100,000+",Paid,6.11,Teen,Action,09-Nov-16,1.1,4.2 and up
App 138,EDUCATION,,211343,Varies with device,"100,000+",Free,3.84,Mature 17+,Education,28-Nov-17,1.5,4.0 and up
App 139,BUSINESS,1.1,668581,74M,"1,000,000+",Paid,6.17,Mature 17+,Tools,21-Aug-18,2.0,4.0 and up
App 140,FAMILY,,555907,74M,"10,000+",Paid,18.86,Everyone,Action,21-Jul-18,Varies with device,4.2 and up
App 141,ENTERTAINMENT,1.6,892399,Varies with device,"10,000+",Free,0,Teen,Puzzle,27-Jul-17,1.1,4.0 and up
App 142,FAMILY,2.6,20001,74M,"10,000+",Paid,21.47,Teen,Entertainment,24-Nov-16,1.0,4.0 and up
App 143,ENTERTAINMENT,4.8,994813,Varies with device,"10,000,000+",Paid,0,Everyone 10+,Tools,15-Jul-18,1.0,Varies with device
App 144,TOOLS,4.4,615281,74M,"10,000,000+",Paid,28.49,Everyone 10+,Entertainment,26-Jul-17,1.1,5.0 and up
App 145,TOOLS,3.1,835420,74M,"10,000,000+",Free,0,Everyone 10+,Tools,23-Jun-17,1.5,4.0 and up
App 146,GAME,,378063,Varies with device,"1,000,000+",Paid,0.72,Everyone,Education,12-May-18,Varies with device,4.0 and up
App 147,PERSONALIZATION,2.8,834123,Varies with device,"1,000+",Paid,48.31,Mature 17+,Tools,24-Oct-18,1.5,4.2 and up
App 148,ENTERTAINMENT,3.3,556540,74M,"1,000,000+",Paid,0,Teen,Simulation,08-Nov-18,1.0,4.0 and up
App 149,ENTERTAINMENT,2.4,373277,74M,"10,000,000+",Free,0,Mature 17+,Puzzle,13-Aug-16,1.0,4.0 and up
App 150,FAMILY,,218343,74M,"10,000,000+",Paid,0,Mature 17+,Entertainment,05-Jul-18,2.0,4.0 and up
App 151,EDUCATION,3.5,796356,74M,"100,000+",Paid,32.56,Mature 17+,Tools,10-Jun-16,Varies with device,4.2 and up
App 152,BUSINESS,3.3,296645,74M,"100,000+",Paid,38.17,Teen,Education,01-Mar-16,2.0,Varies with device
App 153,PERSONALIZATION,2.0,308515,Varies with device,"1,000+",Free,0,Everyone 10+,Puzzle,16-Oct-16,1.0,5.0 and up
App 154,TOOLS,3.3,141432,74M,"10,000,000+",Free,0,Mature 17+,Action,20-May-16,2.0,Varies with device
App 155,PERSONALIZATION,3.1,923326,Varies with device,"100,000+",Paid,0,Teen,Tools,10-Jul-17,1.5,4.0 and up
App 156,FAMILY,3.4,647238,74M,"10,000,000+",Paid,0,Everyone,Education,28-Feb-16,2.0,4.1 and up
App 157,BUSINESS,4.3,208473,Varies with device,"1,000+",Free,43.84,Teen,Entertainment,14-Nov-18,1.0,5.0 and up
App 158,ENTERTAINMENT,2.4,596009,74M,"100,000+",Paid,39.73,Mature 17+,Simulation,04-May-17,1.1,4.2 and up
App 159,TOOLS,2.8,739405,Varies with device,"10,000,000+",Paid,0,Everyone,Entertainment,10-Feb-18,2.0,4.0 and up
App 160,BUSINESS,3.6,307706,Varies with device,"1,000,000+",Free,0,Everyone 10+,Education,11-Sep-17,1.5,4.1 and up
App 161,FAMILY,3.3,143672,74M,"10,000,000+",Paid,12.73,Everyone 10+,Tools,14-Apr-18,Varies with device,5.0 and up
App 162,ENTERTAINMENT,2.1,179981,Varies with device,"100,000+",Free,39.11,Teen,Action,23-Oct-18,1.5,4.0 and up
App 163,EDUCATION,3.6,470138,74M,"100,000+",Paid,0,Everyone 10+,Entertainment,16-Apr-18,Varies with device,4.2 and up
App 164,BUSINESS,4.4,233371,Varies with device,"1,000+",Free,40.98,Everyone 10+,Entertainment,10-Dec-16,2.0,4.2 and up
App 165,GAME,4.5,831976,Varies with device,"100,000+",Free,0,Everyone 10+,Tools,08-Dec-17,1.5,Varies with device
App 166,BUSINESS,2.9,532704,Varies with device,"10,000+",Free,13.37,Everyone,Tools,15-Mar-18,1.0,4.1 and up
App 167,PERSONALIZATION,4.5,225708,Varies with device,"1,000,000+",Paid,6.96,Everyone,Simulation,18-Dec-16,2.0,4.2 and up
App 168,ENTERTAINMENT,,551192,74M,"1,000,000+",Free,8.0,Mature 17+,Education,08-Oct-18,Varies with device,5.0 and up
App 169,EDUCATION,3.9,223907,Varies with device,"100,000+",Free,0,Everyone,Entertainment,03-Dec-16,1.1,4.1 and up
App 170,FAMILY,1.1,191273,Varies with device,"100,000+",Paid,0,Everyone 10+,Tools,28-Sep-18,2.0,5.0 and up
App 171,TOOLS,3.2,253789,Varies with device,"10,000,000+",Free,17.17,Teen,Tools,23-Apr-18,2.0,4.1 and up
App 172,EDUCATION,1.9,580088,74M,"100,000+",Paid,0,Mature 17+,Entertainment,04-Dec-17,1.5,Varies with device
App 173,BUSINESS,3.9,521442,74M,"1,000,000+",Paid,0,Everyone 10+,Education,08-Sep-16,1.5,5.0 and up
App 174,BUSINESS,2.1,55747,74M,"1,000,000+",Free,7.57,Mature 17+,Puzzle,15-Jan-17,2.0,5.0 and up
App 175,TOOLS,,633018,74M,"10,000,000+",Free,32.2,Everyone,Action,08-Apr-16,1.1,4.2 and up
App 176,BUSINESS,3.6,688246,Varies with device,"10,000+",Paid,14.33,Mature 17+,Tools,24-Oct-16,1.0,4.2 and up
App 177,TOOLS,,923374,74M,"10,000,000+",Paid,0,Teen,Tools,09-Oct-16,1.0,4.2 and up
App 178,TOOLS,4.7,567269,74M,"10,000,000+",Paid,0,Everyone,Tools,03-Nov-18,1.1,4.0 and up
App 179,TOOLS,2.0,904824,Varies with device,"10,000+",Free,46.62,Teen,Action,18-Oct-17,2.0,4.2 and up
App 180,PERSONALIZATION,2.2,267115,Varies with device,"100,000+",Free,36.61,Everyone 10+,Action,27-Apr-16,1.1,4.2 and up
App 181,BUSINESS,3.9,262049,Varies with device,"1,000,000+",Free,0,Teen,Action,22-Mar-17,1.0,4.2 and up
App 182,GAME,,716481,Varies with device,"100,000+",Paid,9.78,Teen,Education,27-Aug-16,1.1,4.2 and up
App 183,PERSONALIZATION,1.6,103819,Varies with device,"1,000,000+",Paid,0,Everyone 10+,Action,08-May-18,Varies with device,5.0 and up
App 184,PERSONALIZATION,4.7,380610,Varies with device,"1,000,000+",Free,0,Everyone,Education,08-Mar-18,1.0,Varies with device
App 185,GAME,2.3,652747,Varies with device,"1,000,000+",Free,13.14,Teen,Action,11-Nov-17,2.0,4.1 and up
App 186,FAMILY,2.1,935702,74M,"1,000,000+",Paid,0,Everyone 10+,Tools,04-Mar-16,1.1,5.0 and up
App 187,TOOLS,1.2,516117,Varies with device,"10,000+",Paid,0,Mature 17+,Entertainment,07-Jun-17,1.0,4.2 and up
App 188,BUSINESS,1.1,416161,Varies with device,"100,000+",Free,1.93,Mature 17+,Tools,08-Nov-16,1.5,5.0 and up
App 189,GAME,4.5,773389,Varies with device,"1,000,000+",Paid,14.52,Mature 17+,Simulation,20-Dec-16,2.0,Varies with device
App 190,TOOLS,4.0,667115,Varies with device,"100,000+",Free,0,Everyone,Education,08-Feb-18,1.1,5.0 and up
App 191,PERSONALIZATION,4.6,435965,Varies with device,"100,000+",Paid,44.82,Teen,Puzzle,11-Dec-17,Varies with device,5.0 and up
App 192,EDUCATION,3.5,499247,74M,"10,000+",Paid,0,Everyone,Simulation,28-Apr-17,1.5,Varies with device
App 193,ENTERTAINMENT,3.4,867741,74M,"1,000,000+",Free,41.87,Teen,Education,11-Dec-18,1.1,5.0 and up
App 194,EDUCATION,3.4,817207,74M,"10,000,000+",Free,15.65,Mature 17+,Puzzle,14-Feb-16,1.5,5.0 and up
App 195,EDUCATION,4.3,66277,Varies with device,"10,000,000+",Free,25.8,Everyone,Simulation,01-Sep-16,2.0,5.0 and up
App 196,BUSINESS,2.2,478115,74M,"10,000+",Free,0,Everyone 10+,Simulation,19-May-17,1.1,Varies with device
App 197,EDUCATION,4.2,473692,Varies with device,"100,000+",Free,0,Teen,Puzzle,13-Apr-17,Varies with device,4.0 and up
App 198,GAME,3.0,877631,74M,"1,000+",Free,48.07,Everyone,Action,13-Nov-18,2.0,4.0 and up
App 199,ENTERTAINMENT,3.3,522262,Varies with device,"100,000+",Paid,8.21,Teen,Entertainment,04-Feb-16,2.0,4.0 and up
App 200,ENTERTAINMENT,3.4,52925,Varies with device,"10,000+",Paid,38.94,Mature 17+,Action,09-May-16,1.1,4.1 and up
App 201,BUSINESS,2.8,153480,Varies with device,"10,000+",Paid,39.42,Teen,Entertainment,16-Aug-18,2.0,4.0 and up
App 202,FAMILY,3.3,228042,74M,"10,000+",Free,0,Everyone,Entertainment,03-Jun-18,1.1,4.1 and up
App 203,ENTERTAINMENT,3.4,363472,74M,"1,000+",Free,49.43,Everyone,Entertainment,01-Nov-18,1.0,Varies with device
App 204,BUSINESS,4.6,286903,74M,"10,000,000+",Free,0,Everyone 10+,Action,09-Oct-16,Varies with device,5.0 and up
App 205,PERSONALIZATION,2.0,97982,74M,"1,000+",Paid,12.8,Mature 17+,Entertainment,01-Dec-17,1.0,4.0 and up
App 206,FAMILY,1.6,495252,Varies with device,"10,000,000+",Paid,0,Mature 17+,Education,27-Nov-18,1.0,Varies with device
App 207,FAMILY,,568787,Varies with device,"100,000+",Free,0,Everyone 10+,Puzzle,16-Nov-18,1.0,4.1 and up
App 208,PERSONALIZATION,4.4,530443,74M,"1,000,000+",Free,0,Mature 17+,Entertainment,26-Jan-18,1.0,4.1 and up
App 209,BUSINESS,2.2,721311,Varies with device,"1,000,000+",Free,0,Mature 17+,Simulation,28-Aug-16,1.5,4.1 and up
App 210,GAME,1.3,941861,74M,"10,000,000+",Paid,0,Everyone,Action,14-Jun-18,1.1,4.0 and up
App 211,EDUCATION,3.5,368854,74M,"100,000+",Free,29.81,Everyone 10+,Entertainment,26-Mar-17,2.0,Varies with device
